,category,country,description,lat,lon,rank,start,timezone,title,as_of_date,label
9,disasters,,,-30.2054,-67.4572,84,2018-11-02T08:20:21Z,America/Argentina/La_Rioja,"M 4.8 - 47km N of San Agustin de Valle Fertil, Argentina",2018-11-02,disaster
9,disasters,,,-30.2054,-67.4572,84,2018-11-02T08:20:21Z,America/Argentina/La_Rioja,"M 4.8 - 47km N of San Agustin de Valle Fertil, Argentina",2018-11-02,earthquake
10,disasters,,,33.689,135.1407,81,2018-11-02T07:53:55Z,Asia/Tokyo,"M 5.4 - 21km WSW of Tanabe, Japan",2018-11-02,disaster
10,disasters,,,33.689,135.1407,81,2018-11-02T07:53:55Z,Asia/Tokyo,"M 5.4 - 21km WSW of Tanabe, Japan",2018-11-02,earthquake
11,disasters,,,37.5718,20.3512,83,2018-11-02T07:53:13Z,Europe/Athens,"M 4.5 - 44km WSW of Mouzaki, Greece",2018-11-02,disaster
11,disasters,,,37.5718,20.3512,83,2018-11-02T07:53:13Z,Europe/Athens,"M 4.5 - 44km WSW of Mouzaki, Greece",2018-11-02,earthquake
12,disasters,AR,"Latam Brasil Airbus A320-200 which was set for Santiago, Chile made an emergency landing in Argentina due to a severe hailstorm. Only 80 minutes into its flight after took off from Sao Paulo, Brazil on Wednesday, the plane flew through a severe hailstorm over the province of Misiones, Argentina. Wind gusts of up to 200km/hr battered the plane and the aircraft was forced to descend 1,500 meters before it made an emergency landing at Ezeiza airport at Buenos Aires. Argentinian's Accident Investigation Board confirmed nobody was injured on the flight. All the passengers were promptly transferred to other flights and made it to their final destination in Chile. The damaged plane has been kept at the airport in Buenos Aires.",-27.426926,-55.946707999999994,90,2018-11-02T06:14:27Z,America/Argentina/Cordoba,Vehicle Incident - South-America - Argentina,2018-11-02,disaster
12,disasters,AR,"Latam Brasil Airbus A320-200 which was set for Santiago, Chile made an emergency landing in Argentina due to a severe hailstorm. Only 80 minutes into its flight after took off from Sao Paulo, Brazil on Wednesday, the plane flew through a severe hailstorm over the province of Misiones, Argentina. Wind gusts of up to 200km/hr battered the plane and the aircraft was forced to descend 1,500 meters before it made an emergency landing at Ezeiza airport at Buenos Aires. Argentinian's Accident Investigation Board confirmed nobody was injured on the flight. All the passengers were promptly transferred to other flights and made it to their final destination in Chile. The damaged plane has been kept at the airport in Buenos Aires.",-27.426926,-55.946707999999994,90,2018-11-02T06:14:27Z,America/Argentina/Cordoba,Vehicle Incident - South-America - Argentina,2018-11-02,vehicle-accident
13,disasters,,,-1.2688,120.5806,85,2018-11-02T03:04:47Z,Asia/Makassar,"M 4.8 - 18km NNW of Kasiguncu, Indonesia",2018-11-02,disaster
13,disasters,,,-1.2688,120.5806,85,2018-11-02T03:04:47Z,Asia/Makassar,"M 4.8 - 18km NNW of Kasiguncu, Indonesia",2018-11-02,earthquake
14,disasters,,,-22.834,-70.9398,81,2018-11-02T02:58:48Z,America/Santiago,"M 4.5 - 105km NNW of Antofagasta, Chile",2018-11-02,disaster
14,disasters,,,-22.834,-70.9398,81,2018-11-02T02:58:48Z,America/Santiago,"M 4.5 - 105km NNW of Antofagasta, Chile",2018-11-02,earthquake
15,disasters,,,37.351,20.5767,83,2018-11-02T02:33:10Z,Europe/Athens,"M 4.7 - 46km SSW of Lithakia, Greece",2018-11-02,disaster
15,disasters,,,37.351,20.5767,83,2018-11-02T02:33:10Z,Europe/Athens,"M 4.7 - 46km SSW of Lithakia, Greece",2018-11-02,earthquake
16,disasters,,,37.5577,20.312,84,2018-11-02T01:45:39Z,Europe/Athens,"M 4.6 - 48km WSW of Mouzaki, Greece",2018-11-02,disaster
16,disasters,,,37.5577,20.312,84,2018-11-02T01:45:39Z,Europe/Athens,"M 4.6 - 48km WSW of Mouzaki, Greece",2018-11-02,earthquake
17,disasters,,,-22.8489,-70.928,80,2018-11-02T01:45:02Z,America/Santiago,"M 4.5 - 103km NNW of Antofagasta, Chile",2018-11-02,disaster
17,disasters,,,-22.8489,-70.928,80,2018-11-02T01:45:02Z,America/Santiago,"M 4.5 - 103km NNW of Antofagasta, Chile",2018-11-02,earthquake
18,disasters,,,-19.6604,-179.959,63,2018-11-03T22:21:43Z,Pacific/Fiji,"M 4.6 - 171km NW of Ndoi Island, Fiji",2018-11-03,disaster
18,disasters,,,-19.6604,-179.959,63,2018-11-03T22:21:43Z,Pacific/Fiji,"M 4.6 - 171km NW of Ndoi Island, Fiji",2018-11-03,earthquake
19,disasters,,,-2.9603,119.4636,85,2018-11-03T21:39:12Z,Asia/Makassar,"M 4.7 - 9km ESE of Mamasa, Indonesia",2018-11-03,disaster
19,disasters,,,-2.9603,119.4636,85,2018-11-03T21:39:12Z,Asia/Makassar,"M 4.7 - 9km ESE of Mamasa, Indonesia",2018-11-03,earthquake
20,disasters,,,40.2076,77.5934,86,2018-11-03T21:36:21Z,Asia/Urumqi,"M 4.9 - 139km ENE of Arzak, China",2018-11-03,disaster
20,disasters,,,40.2076,77.5934,86,2018-11-03T21:36:21Z,Asia/Urumqi,"M 4.9 - 139km ENE of Arzak, China",2018-11-03,earthquake
21,disasters,,,8.5472,126.8737,84,2018-11-03T21:21:59Z,Asia/Manila,"M 4.6 - 62km ENE of Hinatuan, Philippines",2018-11-03,disaster
21,disasters,,,8.5472,126.8737,84,2018-11-03T21:21:59Z,Asia/Manila,"M 4.6 - 62km ENE of Hinatuan, Philippines",2018-11-03,earthquake
22,disasters,,,-3.8056,101.7751,77,2018-11-03T15:58:33Z,Asia/Jakarta,"M 5.2 - 54km W of Bengkulu, Indonesia",2018-11-03,disaster
22,disasters,,,-3.8056,101.7751,77,2018-11-03T15:58:33Z,Asia/Jakarta,"M 5.2 - 54km W of Bengkulu, Indonesia",2018-11-03,earthquake
23,disasters,PK,"At least seven people were killed and 19 wounded in a traffic accident Friday night when a minibus collided with an oncoming truck here in Zawa area, authorities said. According to the District Commissioner for Khuzdar, the 19 injured people were transferred to the Teaching Hospital Khuzdar Medical College. Most of the casualties were people belonging to the Hindu community, authorities confirmed. According to Levies sources, the casualties include children and women as well.",27.816484000000003,66.605738,70,2018-11-03T12:42:27Z,Asia/Karachi,Vehicle Accident - Asia - Pakistan,2018-11-03,disaster
23,disasters,PK,"At least seven people were killed and 19 wounded in a traffic accident Friday night when a minibus collided with an oncoming truck here in Zawa area, authorities said. According to the District Commissioner for Khuzdar, the 19 injured people were transferred to the Teaching Hospital Khuzdar Medical College. Most of the casualties were people belonging to the Hindu community, authorities confirmed. According to Levies sources, the casualties include children and women as well.",27.816484000000003,66.605738,70,2018-11-03T12:42:27Z,Asia/Karachi,Vehicle Accident - Asia - Pakistan,2018-11-03,vehicle-accident
24,disasters,US,"The fire department says one person is dead and another was unaccounted after a weather-related building collapse at an Amazon distribution warehouse on Baltimore's southeast side, the Baltimore Sun reports. Chief Roman Clark tells the Sun that a 50-foot wall collapsed late Friday at the Amazon Fulfillment Center as a storm hit the area. Clark says one person was found under debris and taken to a hospital, where the person was pronounced dead, the Sun reports. He adds that a second person was unaccounted for. Images taken from outside the facility showed a badly damaged truck and a knocked over light pole, the Sun reports. The National Weather Service had earlier warned of thunderstorms in the area, with some producing gusty winds and heavy rain.",39.267216999999995,-76.549184,70,2018-11-03T12:01:12Z,America/New_York,Technological Disaster - North-America - USA,2018-11-03,disaster
24,disasters,US,"The fire department says one person is dead and another was unaccounted after a weather-related building collapse at an Amazon distribution warehouse on Baltimore's southeast side, the Baltimore Sun reports. Chief Roman Clark tells the Sun that a 50-foot wall collapsed late Friday at the Amazon Fulfillment Center as a storm hit the area. Clark says one person was found under debris and taken to a hospital, where the person was pronounced dead, the Sun reports. He adds that a second person was unaccounted for. Images taken from outside the facility showed a badly damaged truck and a knocked over light pole, the Sun reports. The National Weather Service had earlier warned of thunderstorms in the area, with some producing gusty winds and heavy rain.",39.267216999999995,-76.549184,70,2018-11-03T12:01:12Z,America/New_York,Technological Disaster - North-America - USA,2018-11-03,technological-disaster
25,disasters,,,-23.9516,-66.8322,62,2018-11-03T09:47:29Z,America/Argentina/Jujuy,"M 4.5 - 59km WNW of San Antonio de los Cobres, Argentina",2018-11-03,disaster
25,disasters,,,-23.9516,-66.8322,62,2018-11-03T09:47:29Z,America/Argentina/Jujuy,"M 4.5 - 59km WNW of San Antonio de los Cobres, Argentina",2018-11-03,earthquake
26,disasters,,,-2.9068,119.4645,85,2018-11-03T08:44:06Z,Asia/Makassar,"M 4.8 - 10km ENE of Mamasa, Indonesia",2018-11-03,disaster
26,disasters,,,-2.9068,119.4645,85,2018-11-03T08:44:06Z,Asia/Makassar,"M 4.8 - 10km ENE of Mamasa, Indonesia",2018-11-03,earthquake
27,disasters,,,37.5013,20.2437,83,2018-11-03T08:05:53Z,Europe/Athens,"M 4.5 - 56km WSW of Mouzaki, Greece",2018-11-03,disaster
27,disasters,,,37.5013,20.2437,83,2018-11-03T08:05:53Z,Europe/Athens,"M 4.5 - 56km WSW of Mouzaki, Greece",2018-11-03,earthquake
28,disasters,IT,"A number of towns and villages were cut off Friday after torrential rain caused a landslide near Belluno in the far north of Italy. The mass of earth and mud completely blocked the regional road 203 linking Cencenighe and Agordo. The municipalities to the north of the slide were completely cut off, as rain continued to fall incessantly in the area. The wider Veneto region was counting storm damage of over one billion euros, as the extreme weather returned with a vengeance. ""We are on our knees, we have already scheduled the closure of all the schools,"" said Veneto Governor Luca Zaia. Zaia has proposed suspending taxes and mortgage payments for the storm-hit, as has Liguria Governor Giovanni Toti. Economy Undersecretary Laura Castelli responded Friday that taxes and other levies would be stopped in the two northern Italian regions.",46.142464000000004,12.216709,70,2018-11-03T06:04:11Z,Europe/Rome,Landslide - Europe - Italy,2018-11-03,disaster
28,disasters,IT,"A number of towns and villages were cut off Friday after torrential rain caused a landslide near Belluno in the far north of Italy. The mass of earth and mud completely blocked the regional road 203 linking Cencenighe and Agordo. The municipalities to the north of the slide were completely cut off, as rain continued to fall incessantly in the area. The wider Veneto region was counting storm damage of over one billion euros, as the extreme weather returned with a vengeance. ""We are on our knees, we have already scheduled the closure of all the schools,"" said Veneto Governor Luca Zaia. Zaia has proposed suspending taxes and mortgage payments for the storm-hit, as has Liguria Governor Giovanni Toti. Economy Undersecretary Laura Castelli responded Friday that taxes and other levies would be stopped in the two northern Italian regions.",46.142464000000004,12.216709,70,2018-11-03T06:04:11Z,Europe/Rome,Landslide - Europe - Italy,2018-11-03,landslide
29,disasters,US,"Two people are dead after a small plane crash in suburban Denver. North Metro Fire Rescue says the plane crashed in a park area of a housing development in Broomfield, about 15 miles north of Denver. There was no immediate information about the plane's destination or those on board.",39.920541,-105.08665,70,2018-11-03T05:55:44Z,America/Denver,Vehicle Accident - North-America - USA,2018-11-03,disaster
29,disasters,US,"Two people are dead after a small plane crash in suburban Denver. North Metro Fire Rescue says the plane crashed in a park area of a housing development in Broomfield, about 15 miles north of Denver. There was no immediate information about the plane's destination or those on board.",39.920541,-105.08665,70,2018-11-03T05:55:44Z,America/Denver,Vehicle Accident - North-America - USA,2018-11-03,vehicle-accident
30,disasters,IL,"The fire and rescue forces gained control Friday over a fire that broke out in the Jerusalem Forest, near Zippori center. Eight firefighting teams operated in the area, assisted by firefighting planes from the Elad squadron. Earlier Friday, residents of the Zippori Center were evacuated due to the blaze.",32.750813,35.284563,70,2018-11-03T05:54:15Z,Asia/Jerusalem,Forest / Wild Fire - Middle-East - Israel,2018-11-03,disaster
30,disasters,IL,"The fire and rescue forces gained control Friday over a fire that broke out in the Jerusalem Forest, near Zippori center. Eight firefighting teams operated in the area, assisted by firefighting planes from the Elad squadron. Earlier Friday, residents of the Zippori Center were evacuated due to the blaze.",32.750813,35.284563,70,2018-11-03T05:54:15Z,Asia/Jerusalem,Forest / Wild Fire - Middle-East - Israel,2018-11-03,fire
30,disasters,IL,"The fire and rescue forces gained control Friday over a fire that broke out in the Jerusalem Forest, near Zippori center. Eight firefighting teams operated in the area, assisted by firefighting planes from the Elad squadron. Earlier Friday, residents of the Zippori Center were evacuated due to the blaze.",32.750813,35.284563,70,2018-11-03T05:54:15Z,Asia/Jerusalem,Forest / Wild Fire - Middle-East - Israel,2018-11-03,wildfire
31,disasters,NZ,"Firefighters are working to protect properties in Lake Hawea as a fire burns out of control this evening. Residents have been evacuated from their homes near the blaze. Fire Service southern communications shift manager Andrew Norris said the fire started in pine trees and, fanned by strong winds, has covered 3ha of the hillside near Lake Hawea. Seven fire engines from Hawea, Wanaka, Luggate, Tarras, Dunstan Rural and the Alexandra Command Unit, along with two helicopters are now battling the blaze. Two more helicopters have been enlisted to fight the fire. Light rain is forecast around midnight which Norris hopes will aid the firefighting effort. State Highway 6 from Wanaka to Makarora is closed at the junction with Capell Avenue and motorists have been asked to avoid the area.",-44.480967,169.32483,70,2018-11-03T05:42:57Z,Pacific/Auckland,Forest / Wild Fire - Oceania - New Zealand,2018-11-03,disaster
31,disasters,NZ,"Firefighters are working to protect properties in Lake Hawea as a fire burns out of control this evening. Residents have been evacuated from their homes near the blaze. Fire Service southern communications shift manager Andrew Norris said the fire started in pine trees and, fanned by strong winds, has covered 3ha of the hillside near Lake Hawea. Seven fire engines from Hawea, Wanaka, Luggate, Tarras, Dunstan Rural and the Alexandra Command Unit, along with two helicopters are now battling the blaze. Two more helicopters have been enlisted to fight the fire. Light rain is forecast around midnight which Norris hopes will aid the firefighting effort. State Highway 6 from Wanaka to Makarora is closed at the junction with Capell Avenue and motorists have been asked to avoid the area.",-44.480967,169.32483,70,2018-11-03T05:42:57Z,Pacific/Auckland,Forest / Wild Fire - Oceania - New Zealand,2018-11-03,fire
31,disasters,NZ,"Firefighters are working to protect properties in Lake Hawea as a fire burns out of control this evening. Residents have been evacuated from their homes near the blaze. Fire Service southern communications shift manager Andrew Norris said the fire started in pine trees and, fanned by strong winds, has covered 3ha of the hillside near Lake Hawea. Seven fire engines from Hawea, Wanaka, Luggate, Tarras, Dunstan Rural and the Alexandra Command Unit, along with two helicopters are now battling the blaze. Two more helicopters have been enlisted to fight the fire. Light rain is forecast around midnight which Norris hopes will aid the firefighting effort. State Highway 6 from Wanaka to Makarora is closed at the junction with Capell Avenue and motorists have been asked to avoid the area.",-44.480967,169.32483,70,2018-11-03T05:42:57Z,Pacific/Auckland,Forest / Wild Fire - Oceania - New Zealand,2018-11-03,wildfire
32,disasters,,,-21.307,-177.4992,62,2018-11-03T03:08:31Z,Pacific/Fiji,"M 4.5 - 144km ESE of Ndoi Island, Fiji",2018-11-03,disaster
32,disasters,,,-21.307,-177.4992,62,2018-11-03T03:08:31Z,Pacific/Fiji,"M 4.5 - 144km ESE of Ndoi Island, Fiji",2018-11-03,earthquake
33,disasters,,,-2.9735,119.3917,83,2018-11-03T02:30:13Z,Asia/Makassar,"M 4.5 - 3km SSE of Mamasa, Indonesia",2018-11-03,disaster
33,disasters,,,-2.9735,119.3917,83,2018-11-03T02:30:13Z,Asia/Makassar,"M 4.5 - 3km SSE of Mamasa, Indonesia",2018-11-03,earthquake
34,disasters,,,10.3513,-62.2049,79,2018-11-03T01:13:38Z,America/Caracas,"M 4.5 - 26km SSE of Guiria, Venezuela",2018-11-03,disaster
34,disasters,,,10.3513,-62.2049,79,2018-11-03T01:13:38Z,America/Caracas,"M 4.5 - 26km SSE of Guiria, Venezuela",2018-11-03,earthquake
35,disasters,,,37.1922,20.5976,84,2018-11-03T01:10:05Z,Europe/Athens,"M 4.6 - 61km SSW of Lithakia, Greece",2018-11-03,disaster
35,disasters,,,37.1922,20.5976,84,2018-11-03T01:10:05Z,Europe/Athens,"M 4.6 - 61km SSW of Lithakia, Greece",2018-11-03,earthquake
36,disasters,,,10.8912,122.0537,79,2018-11-04T23:46:10Z,Asia/Manila,"M 4.7 - 5km NNW of San Remigio, Philippines",2018-11-04,disaster
36,disasters,,,10.8912,122.0537,79,2018-11-04T23:46:10Z,Asia/Manila,"M 4.7 - 5km NNW of San Remigio, Philippines",2018-11-04,earthquake
37,disasters,,,33.6271,135.2732,76,2018-11-04T23:19:17Z,Asia/Tokyo,"M 4.5 - 14km SW of Tanabe, Japan",2018-11-04,disaster
37,disasters,,,33.6271,135.2732,76,2018-11-04T23:19:17Z,Asia/Tokyo,"M 4.5 - 14km SW of Tanabe, Japan",2018-11-04,earthquake
38,disasters,,,33.5472,89.3869,84,2018-11-04T14:20:44Z,Asia/Shanghai,"M 4.5 - 203km NNW of Pubu, China",2018-11-04,disaster
38,disasters,,,33.5472,89.3869,84,2018-11-04T14:20:44Z,Asia/Shanghai,"M 4.5 - 203km NNW of Pubu, China",2018-11-04,earthquake
39,disasters,,,-18.804000000000002,-177.447,62,2018-11-04T13:27:32Z,Pacific/Fiji,"M 4.5 - 242km NNE of Ndoi Island, Fiji",2018-11-04,disaster
39,disasters,,,-18.804000000000002,-177.447,62,2018-11-04T13:27:32Z,Pacific/Fiji,"M 4.5 - 242km NNE of Ndoi Island, Fiji",2018-11-04,earthquake
40,disasters,,,41.84,141.4744,67,2018-11-04T13:08:27Z,Asia/Tokyo,"M 4.7 - 61km E of Hakodate, Japan",2018-11-04,disaster
40,disasters,,,41.84,141.4744,67,2018-11-04T13:08:27Z,Asia/Tokyo,"M 4.7 - 61km E of Hakodate, Japan",2018-11-04,earthquake
41,disasters,,,-15.3273,-74.2429,73,2018-11-04T11:54:14Z,America/Lima,"M 4.9 - 41km ENE of Acari, Peru",2018-11-04,disaster
41,disasters,,,-15.3273,-74.2429,73,2018-11-04T11:54:14Z,America/Lima,"M 4.9 - 41km ENE of Acari, Peru",2018-11-04,earthquake
42,disasters,,,-10.5439,165.062,72,2018-11-04T10:19:34Z,Pacific/Guadalcanal,"M 4.8 - 86km WNW of Lata, Solomon Islands",2018-11-04,disaster
42,disasters,,,-10.5439,165.062,72,2018-11-04T10:19:34Z,Pacific/Guadalcanal,"M 4.8 - 86km WNW of Lata, Solomon Islands",2018-11-04,earthquake
43,disasters,,,-39.9726,176.9818,85,2018-11-04T09:32:37Z,Pacific/Auckland,"M 4.7 - 38km SSE of Hastings, New Zealand",2018-11-04,disaster
43,disasters,,,-39.9726,176.9818,85,2018-11-04T09:32:37Z,Pacific/Auckland,"M 4.7 - 38km SSE of Hastings, New Zealand",2018-11-04,earthquake
44,disasters,US,"Authorities say one railroad worker has died and another is seriously hurt following what appears to be an accidental explosion near a Chicago station. The Cook County medical examiner's office says one of the men was pronounced dead early Saturday afternoon. Both were taken to a hospital shortly after the blast on the city's northwest side near the Grayland Station. The man who survived was listed in stable condition. The workers' names haven't been released. Metra spokeswoman Meg Reile says the man who died was a 46-year-old, 17-year employee of the commuter rail line who worked as a track inspector. Officials say the workers were using torches to weld joints as part of a major track project. Reile says an acetylene tank on a truck exploded but it's not clear why. Reile says one possibility is gas buildup in the tank. She adds there's no indication of foul play. The man killed was standing near the truck.",41.997489,-87.76659000000001,70,2018-11-04T07:34:00Z,America/Chicago,Explosion - North-America - USA,2018-11-04,disaster
44,disasters,US,"Authorities say one railroad worker has died and another is seriously hurt following what appears to be an accidental explosion near a Chicago station. The Cook County medical examiner's office says one of the men was pronounced dead early Saturday afternoon. Both were taken to a hospital shortly after the blast on the city's northwest side near the Grayland Station. The man who survived was listed in stable condition. The workers' names haven't been released. Metra spokeswoman Meg Reile says the man who died was a 46-year-old, 17-year employee of the commuter rail line who worked as a track inspector. Officials say the workers were using torches to weld joints as part of a major track project. Reile says an acetylene tank on a truck exploded but it's not clear why. Reile says one possibility is gas buildup in the tank. She adds there's no indication of foul play. The man killed was standing near the truck.",41.997489,-87.76659000000001,70,2018-11-04T07:34:00Z,America/Chicago,Explosion - North-America - USA,2018-11-04,explosion
45,disasters,AU,"A massive fire has engulfed a factory complex in Sydney's west, with 80 firefighters working to bring the blaze under control. The multiple occupancy sites at Seven Hills is home to a number of businesses, including the Singer Sewing Machine headquarters. It's understood the fire has consumed a number of buildings. A New South Wales Fire and Rescue spokesperson said 25 trucks were at the scene and some 80 firefighters are battling the inferno. Large plumes of black smoke can be seen rising from the complex, as well as flames through broken windows in a number of buildings in the complex. Reports indicate that Prospect Highway in Seven Hills, which is near the site, has been shut down in both directions. Authorities said all individuals had been accounted for and there are no reported injuries at this stage. People are advised to avoid the area until the situation is contained. Temperatures have soared across the state over the past two days, with fire crews on high alert.",-33.7777,150.9416,70,2018-11-04T07:04:39Z,Australia/Sydney,Fire - Oceania - Australia,2018-11-04,disaster
45,disasters,AU,"A massive fire has engulfed a factory complex in Sydney's west, with 80 firefighters working to bring the blaze under control. The multiple occupancy sites at Seven Hills is home to a number of businesses, including the Singer Sewing Machine headquarters. It's understood the fire has consumed a number of buildings. A New South Wales Fire and Rescue spokesperson said 25 trucks were at the scene and some 80 firefighters are battling the inferno. Large plumes of black smoke can be seen rising from the complex, as well as flames through broken windows in a number of buildings in the complex. Reports indicate that Prospect Highway in Seven Hills, which is near the site, has been shut down in both directions. Authorities said all individuals had been accounted for and there are no reported injuries at this stage. People are advised to avoid the area until the situation is contained. Temperatures have soared across the state over the past two days, with fire crews on high alert.",-33.7777,150.9416,70,2018-11-04T07:04:39Z,Australia/Sydney,Fire - Oceania - Australia,2018-11-04,fire
46,disasters,CN,"Authorities in China say at least 14 people have been killed and 27 injured in a highway pile-up. The accident Saturday night happened after a heavy truck lost control and crashed into a line of vehicles waiting at a toll station in the northwestern province of Gansu. Last week, 15 people were killed after a bus to plunged off a high bridge into China's Yangtze River in the western city of Chongqing. In that previous crash, an eight-second surveillance video released by police showed the driver and a passenger arguing and grappling with each other in the moments before the bus suddenly veered across oncoming traffic and off the bridge.",36.064437,103.835822,70,2018-11-04T07:00:05Z,Asia/Shanghai,Vehicle Accident - Asia - China,2018-11-04,disaster
46,disasters,CN,"Authorities in China say at least 14 people have been killed and 27 injured in a highway pile-up. The accident Saturday night happened after a heavy truck lost control and crashed into a line of vehicles waiting at a toll station in the northwestern province of Gansu. Last week, 15 people were killed after a bus to plunged off a high bridge into China's Yangtze River in the western city of Chongqing. In that previous crash, an eight-second surveillance video released by police showed the driver and a passenger arguing and grappling with each other in the moments before the bus suddenly veered across oncoming traffic and off the bridge.",36.064437,103.835822,70,2018-11-04T07:00:05Z,Asia/Shanghai,Vehicle Accident - Asia - China,2018-11-04,vehicle-accident
47,disasters,,,37.5332,20.5951,84,2018-11-04T03:12:45Z,Europe/Athens,"M 4.9 - 29km SW of Mouzaki, Greece",2018-11-04,disaster
47,disasters,,,37.5332,20.5951,84,2018-11-04T03:12:45Z,Europe/Athens,"M 4.9 - 29km SW of Mouzaki, Greece",2018-11-04,earthquake
48,disasters,,,37.2147,20.6999,84,2018-11-04T03:04:31Z,Europe/Athens,"M 4.6 - 56km SSW of Lithakia, Greece",2018-11-04,disaster
48,disasters,,,37.2147,20.6999,84,2018-11-04T03:04:31Z,Europe/Athens,"M 4.6 - 56km SSW of Lithakia, Greece",2018-11-04,earthquake
49,disasters,,,49.343,-129.3899,82,2018-11-05T20:25:40Z,America/Vancouver,"M 4.5 - 206km SW of Port Hardy, Canada",2018-11-05,disaster
49,disasters,,,49.343,-129.3899,82,2018-11-05T20:25:40Z,America/Vancouver,"M 4.5 - 206km SW of Port Hardy, Canada",2018-11-05,earthquake
50,disasters,,,19.9181,95.4792,82,2018-11-05T19:48:36Z,Asia/Yangon,"M 4.5 - 13km SW of Taungdwingyi, Burma",2018-11-05,disaster
50,disasters,,,19.9181,95.4792,82,2018-11-05T19:48:36Z,Asia/Yangon,"M 4.5 - 13km SW of Taungdwingyi, Burma",2018-11-05,earthquake
51,disasters,,,13.0161,-90.42299999999999,83,2018-11-05T19:39:35Z,America/Guatemala,"M 4.5 - 90km SW of Acajutla, El Salvador",2018-11-05,disaster
51,disasters,,,13.0161,-90.42299999999999,83,2018-11-05T19:39:35Z,America/Guatemala,"M 4.5 - 90km SW of Acajutla, El Salvador",2018-11-05,earthquake
52,disasters,,,-2.9044,119.4727,85,2018-11-05T18:35:53Z,Asia/Makassar,"M 5.2 - 11km ENE of Mamasa, Indonesia",2018-11-05,disaster
52,disasters,,,-2.9044,119.4727,85,2018-11-05T18:35:53Z,Asia/Makassar,"M 5.2 - 11km ENE of Mamasa, Indonesia",2018-11-05,earthquake
53,disasters,,,0.475,125.479,73,2018-11-05T15:21:24Z,Asia/Makassar,"M 4.8 - 111km SE of Tondano, Indonesia",2018-11-05,disaster
53,disasters,,,0.475,125.479,73,2018-11-05T15:21:24Z,Asia/Makassar,"M 4.8 - 111km SE of Tondano, Indonesia",2018-11-05,earthquake
54,disasters,,,-20.785,169.9795,66,2018-11-05T14:57:06Z,Pacific/Efate,"M 4.7 - 155km SSE of Isangel, Vanuatu",2018-11-05,disaster
